PS_Name,BO-Fam:PS-QD
PS_Model,4
Num_PS_Modules,1
Command_Interface,0
RS485_Baudrate,6000000
RS485_Address,1,30,30,30
RS485_Termination,1
UDCNet_Address,0
Ethernet_IP,10,0,25,43
Ethernet_Subnet_Mask,255,255,255,0
Buzzer_Volume,50,0
Freq_ISR_Controller,24000
Freq_TimeSlicer,8000,8000
Max_Ref,30
Min_Ref,-30
Max_Ref_OpenLoop,35
Min_Ref_OpenLoop,-35
Max_SlewRate_SlowRef,200
Max_SlewRate_SigGen_Amp,50
Max_SlewRate_SigGen_Offset,50
Max_SlewRate_WfmRef,100000
PWM_Freq,12000
PWM_DeadTime,0
PWM_Max_Duty,0.9
PWM_Min_Duty,-0.9
PWM_Max_Duty_OpenLoop,0.35
PWM_Min_Duty_OpenLoop,-0.35
PWM_Lim_Duty_Share,0
HRADC_Num_Boards,3
HRADC_Freq_SPICLK,4
HRADC_Freq_Sampling,120000
HRADC_Enable_Heater,0,0,0,0
HRADC_Enable_Monitor,0,0,0,0
HRADC_Type_Transducer,0,0,0,0
HRADC_Gain_Transducer,-3.75,3.75,10,1
HRADC_Offset_Transducer,0,0,0,0
SigGen_Type,2
SigGen_Num_Cycles,1
SigGen_Freq,0
SigGen_Amplitude,0
SigGen_Offset,0
SigGen_Aux_Param,0,0,0,0
WfmRef_ID_WfmRef,1
WfmRef_SyncMode,2
WfmRef_Gain,1
WfmRef_Offset,0
Analog_Var_Max,33,55,70,58,80,80,5,37.5,5,1
Analog_Var_Min,0,0,30,30,0,0,0,0,0,0
Hard_Interlocks_Debounce_Time,2000,2000,200000,500000,0,0,10000,10000
Hard_Interlocks_Reset_Time,10000,10000,1000000,1000000,0,0,100000,100000
Soft_Interlocks_Debounce_Time,0,0,2000,2000,2000,1000000,1000000
Soft_Interlocks_Reset_Time,0,0,100000,100000,100000,1001000,1001000
