PS_Name,BO-Fam:PS-B-2 DC/DC Stage,,,
PS_Model,8,,,
Num_PS_Modules,1,,,
Command_Interface,0,,,
RS485_Baudrate,6000000,,,
RS485_Address,1,30,30,30
RS485_Termination,0,,,
UDCNet_Address,0,,,
Ethernet_IP,10,0,25,43
Ethernet_Subnet_Mask,255,255,255,0
Buzzer_Volume,50,
Freq_ISR_Controller,24000,,,
Freq_TimeSlicer,8000,4000,,
Max_Ref,1100,,,
Min_Ref,-1100,,,
Max_Ref_OpenLoop,40,,,
Min_Ref_OpenLoop,-40,,,
Max_SlewRate_SlowRef,10,,,
Max_SlewRate_SigGen_Amp,10,,,
Max_SlewRate_SigGen_Offset,10,,,
Max_SlewRate_WfmRef,100000,,,
PWM_Freq,12000,,,
PWM_DeadTime,0,,,
PWM_Max_Duty,0.9,,,
PWM_Min_Duty,-0.9,,,
PWM_Max_Duty_OpenLoop,0.4,,,
PWM_Min_Duty_OpenLoop,-0.4,,,
PWM_Lim_Duty_Share,0.01,,,
HRADC_Num_Boards,4,,,
HRADC_Freq_SPICLK,4,,,
HRADC_Freq_Sampling,120000,,,
HRADC_Enable_Heater,0,0,0,0
HRADC_Enable_Monitor,0,0,0,0
HRADC_Type_Transducer,0,0,3,3
HRADC_Gain_Transducer,112.5,-112.5,1500,-1500
HRADC_Offset_Transducer,0,0,0,0
SigGen_Type,2,,,
SigGen_Num_Cycles,1,,,
SigGen_Freq,0,,,
SigGen_Amplitude,0,,,
SigGen_Offset,0,,,
SigGen_Aux_Param,0,0,0,0
WfmRef_ID_WfmRef,0,,,
WfmRef_SyncMode,0,,,
WfmRef_Gain,1,,,
WfmRef_Offset,0,,,
Analog_Var_Max,1120,850,299,80,80,100,560,215,5,1,500000
Analog_Var_Min,0,0,150,0,0,0,0,0
Hard_Interlocks_Debounce_Time,0,0,0
Hard_Interlocks_Reset_Time,0,0,0
Soft_Interlocks_Debounce_Time,0,0,0,0,0,0,0
Soft_Interlocks_Reset_Time,0,0,0,0,0,0,0

