PS_Name,BO-Fam:PS-QF AC/DC Mod 1/2,,,
PS_Model,3,,,
Num_PS_Modules,1,,,
Command_Interface,0,,,
RS485_Baudrate,6000000,,,
RS485_Address,2,,,
RS485_Termination,1,,,
UDCNet_Address,0,,,
Ethernet_IP,10,0,25,43
Ethernet_Subnet_Mask,255,255,255,0
Buzzer_Volume,50,
Freq_ISR_Controller,15000,,,
Freq_TimeSlicer,15000,1000,1000,0
Max_Ref,200,,,
Min_Ref,0,,,
Max_Ref_OpenLoop,50,,,
Min_Ref_OpenLoop,0,,,
Max_SlewRate_SlowRef,10,,,
Max_SlewRate_SigGen_Amp,10,,,
Max_SlewRate_SigGen_Offset,10,,,
Max_SlewRate_WfmRef,10,,,
PWM_Freq,15000,,,
PWM_DeadTime,0,,,
PWM_Max_Duty,0.5,,,
PWM_Min_Duty,0.0,,,
PWM_Max_Duty_OpenLoop,0.5,,,
PWM_Min_Duty_OpenLoop,0.0,,,
PWM_Lim_Duty_Share,0,,,
HRADC_Num_Boards,4,,,
HRADC_Freq_SPICLK,4,,,
HRADC_Freq_Sampling,120000,,,
HRADC_Enable_Heater,0,0,0,0
HRADC_Enable_Monitor,0,0,0,0
HRADC_Type_Transducer,0,3,8,8
HRADC_Gain_Transducer,50,2000,50,2000
HRADC_Offset_Transducer,0,0,0,0
SigGen_Type,2,,,
SigGen_Num_Cycles,1,,,
SigGen_Freq,0,,,
SigGen_Amplitude,0,,,
SigGen_Offset,0,,,
SigGen_Aux_Param,0,0,0,0
WfmRef_ID_WfmRef,0,,,
WfmRef_SyncMode,0,,,
WfmRef_Gain,1,,,
WfmRef_Offset,0,,,
Analog_Var_Max,250,560,180,160,80,80,12000,1000,4
Analog_Var_Min,0,0,0,-10,0,0,0,0,0
Hard_Interlocks_Debounce_Time,500000,0,0,10000,10000,10000
Hard_Interlocks_Reset_Time,1000000,0,0,500000,100000,100000
Soft_Interlocks_Debounce_Time,0,0
Soft_Interlocks_Reset_Time,0,0